"","harga","tahun","mileage","variant","transmisi","warna","mesin","merk","model","penumpang","lokasi"
"192",1.8e+08,2012,200000,"GRAND TOURING","Manual","Putih",2499,"Isuzu","Panther",7,"Lampung » Rajabasa"
"193",2.75e+08,2011,62500,"CGI","Automatic","Putih",1796,"Mercedes-Benz","C200",5,"DKI Jakarta » Bendungan Hilir"
"194",1.82e+08,2016,5000,"TRD Sportivo","Automatic","Putih",1496,"Toyota","Yaris",5,"Jawa Timur » Surabaya"
"195",2.45e+08,2015,27500,"D5","Automatic","Putih",1998,"Mitsubishi","Delica",7,"DKI Jakarta » Sunter"
"196",8.9e+07,2010,100000,"Ultimate","Automatic","Abu-abu",1498,"Nissan","Grand Livina",7,"Banten » Pamulang Timur"
"197",1.57e+08,2015,57500,"TRD Sportivo","Automatic","Putih",1495,"Toyota","Rush",5,"Jawa Barat » Depok II Timur"
"198",6.5e+07,1997,297500,"","Manual","Merah",2500,"Isuzu","Panther",7,"Jawa Tengah » Pandanaran"
"199",1.22e+08,2016,7560,"Satya E","Manual","Abu-abu",1198,"Honda","Brio",5,"Jawa Timur » Asemrowo"
"200",107500000,2011,77500,"G","Manual","Abu-abu",1298,"Toyota","Avanza",7,"DKI Jakarta » Kalibata"
"201",3.49e+08,2013,52500,"2.0 TFSI","Automatic","Hitam",1984,"Audi","A6",5,"DKI Jakarta » Mangga Dua"
"202",3.85e+08,2013,28000,"Sport","Automatic","Putih",1991,"Mercedes-Benz","A250",5,"DKI Jakarta » Pademangan"
"203",1.05e+08,2017,7500,"AC","Manual","Putih",1298,"Daihatsu","Gran Max",2,"Banten » Lippo Karawaci"
"204",1.17e+08,2011,97500,"E","Manual","Hitam",1798,"Toyota","Corolla Altis",5,"Banten » Vila Nusa Indah"
"205",1.05e+08,2008,103000,"Highway Star","Automatic","Silver",1998,"Nissan","Serena",7,"Jawa Timur » Kediri"
"206",1.2e+08,2013,172500,"Veloz","Automatic","Silver",1496,"Toyota","Avanza",7,"Banten » Ciledug"
"207",1.75e+08,2007,110000,"G","Automatic","Silver",2362,"Toyota","Alphard",7,"Banten » Cisauk"
"208",1.73e+08,1974,100,"","Manual","Hijau",4200,"Toyota","Land Cruiser",6,"DKI Jakarta » Cempaka Putih"
"209",98500000,2013,107600,"LTZ","Automatic","Abu-abu",1485,"Chevrolet","Spin",7,"DKI Jakarta » Tanjung Duren"
"210",3.1e+08,2010,92500,"S","Automatic","Hitam",2362,"Toyota","Alphard",7,"Jawa Barat » Bandung"
"211",1.25e+08,2012,72826,"Sport","Manual","Hitam",1596,"Ford","Fiesta",5,"Jawa Timur » Nganjuk"
"212",247500000,2014,67500,"V","Automatic","Hitam",2494,"Toyota","Camry",5,"DKI Jakarta » Puri Indah"
"213",102500000,2014,22500,"Satya E","Manual","Putih",1198,"Honda","Brio",5,"Banten » Citra Raya"
"214",1.89e+08,2013,92500,"Sport","Automatic","Putih",1498,"Ford","Fiesta",5,"DKI Jakarta » Cipete"
"215",1.9e+08,2018,50000,"L Lux+","Automatic","Hitam",1798,"Wuling","Cortez",7,"Jawa Timur » Rungkut"
"216",1.25e+08,2009,44000,"XT","Automatic","Hitam",2488,"Nissan","X-Trail",5,"DKI Jakarta » Pasar Minggu"
"217",8.8e+07,1994,130000,"3.2 Automatic","Automatic","Marun",3200,"Mercedes-Benz","E320",5,"Jawa Barat » Kota Sukabumi"
"218",1.27e+08,2009,105000,"G","Automatic","Silver",1998,"Toyota","Kijang Innova",8,"DKI Jakarta » Pulo Gadung"
"219",1.93e+08,2016,12500,"R","Automatic","Merah",1496,"Mazda","2",5,"DKI Jakarta » Gunung Sahari"
"220",1.075e+09,1997,62500,"W463","Automatic","Biru",2996,"Mercedes-Benz","G300",7,"DKI Jakarta » Sunter"
"221",7.95e+08,2012,49000,"Rubicon Unlimited","Automatic","Hitam",3604,"Jeep","Wrangler",5,"Bali » Lukluk"
"222",4.12e+08,2016,52500,"Hybrid","Automatic","Hitam",2494,"Toyota","Camry Hybrid",5,"DKI Jakarta » Setiabudi"
"223",68500000,2000,217408,"","Manual","Silver",1600,"Honda","Civic",5,"Jawa Tengah » Taman"
"224",1.25e+08,2017,36500,"GL","Manual","Putih",1373,"Suzuki","Ertiga",7,"DKI Jakarta » Grogol"
"225",2.35e+08,2014,87500,"Touring","Automatic","Abu-abu",2488,"Mazda","CX-5",5,"Banten » Pondok Cabe"
"226",2.95e+08,2014,82500,"G","Automatic","Hitam",2494,"Toyota","Fortuner",7,"Jawa Tengah » Mijen"
"227",4.35e+08,2018,37500,"VRZ","Automatic","Hitam",2393,"Toyota","Fortuner",7,"Jawa Tengah » Mijen"
"228",7.5e+07,2003,92500,"i-DSI","Automatic","Hitam",1497,"Honda","City",5,"Jawa Tengah » Purwokerto Utara"
"229",5.5e+07,2011,200000,"Li DELUXE","Manual","Hitam",989,"Daihatsu","Xenia",7,"Banten » Serang"
"230",78500000,2004,110000,"E39","Automatic","Hitam",2171,"BMW","520i",5,"DKI Jakarta » Kebon Jeruk"
"231",1.25e+08,2018,16800,"TRD","Manual","Putih",1197,"Toyota","Agya",5,"Jawa Barat » Losari"
"232",3.08e+08,2017,7500,"G","Manual","Silver",2393,"Toyota","Kijang Innova",8,"DKI Jakarta » Bintaro"
"233",3.33e+08,2004,75000,"X350","Automatic","Hijau",3555,"Jaguar","XJ8",5,"Jawa Barat » Sawangan"
"234",1.75e+08,2010,137118,"GT","Automatic","Putih",1994,"Subaru","Exiga",7,"Jawa Barat » Cigombong"
"235",1.35e+08,2014,92500,"E Prestige","Automatic","Putih",1496,"Honda","Mobilio",7,"Jawa Barat » Bekasi Selatan"
